,aeid,acid,assay_component_endpoint_name,export_ready,internal_ready,assay_component_endpoint_desc,assay_function_type,normalized_data_type,burst_assay,key_positive_control,signal_direction,intended_target_type,intended_target_type_sub,intended_target_family,intended_target_family_sub,fit_all,cell_viability_assay,data_usability,n_chemicals,n_chemicals_no_chid
37,69,38,ATG_CRE_CIS,1,1,"Data from the assay component ATG_CRE_CIS was analyzed into 1 assay endpoint. 

This assay endpoint, ATG_CRE_CIS, was analyzed with bidirectional fitting relative to DMSO as the negative control and baseline of activity. 

Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene CREB3. 

Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a reporter gene function. 

To generalize the intended target to other relatable targets, this assay endpoint is annotated to the dna binding intended target family, where the subfamily is basic leucine zipper.",reporter gene,log2_fold_induction,0,Forskolin,gain,protein,transcription factor,dna binding,basic leucine zipper,0,0,1,4040,2703
38,70,39,ATG_DR4_LXR_CIS,1,1,"Data from the assay component ATG_DR4_LXR_CIS was analyzed into 1 assay endpoint. 

This assay endpoint, ATG_DR4_LXR_CIS, was analyzed with bidirectional fitting relative to DMSO as the negative control and baseline of activity. 

Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene NR1H2 and NR1H3. 

Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a reporter gene function. 

To generalize the intended target to other relatable targets, this assay endpoint is annotated to the nuclear receptor intended target family, where the subfamily is non-steroidal.",reporter gene,log2_fold_induction,0,NA,gain,protein,transcription factor,nuclear receptor,non-steroidal,0,0,1,4040,2703
39,71,40,ATG_DR5_RAR_CIS,1,1,"Data from the assay component ATG_DR5_RAR_CIS was analyzed into 1 assay endpoint. 

This assay endpoint, ATG_DR5_CIS, was analyzed with bidirectional fitting relative to DMSO as the negative control and baseline of activity. 

Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene RARA and RARB and RARG. 

Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a reporter gene function. 

To generalize the intended target to other relatable targets, this assay endpoint is annotated to the nuclear receptor intended target family, where the subfamily is non-steroidal.",reporter gene,log2_fold_induction,0,9-cis-Retinoic acid,gain,protein,transcription factor,nuclear receptor,non-steroidal,0,0,1,4040,2703
40,72,41,ATG_E_Box_CIS,1,1,"Data from the assay component ATG_E_Box_CIS was analyzed into 1 assay endpoint. 

This assay endpoint, ATG_E_Box_CIS, was analyzed with bidirectional fitting relative to DMSO as the negative control and baseline of activity. 

Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene USF1. 

Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a reporter gene function. 

To generalize the intended target to other relatable targets, this assay endpoint is annotated to the dna binding intended target family, where the subfamily is basic helix-loop-helix protein.",reporter gene,log2_fold_induction,0,NA,gain,protein,transcription factor,dna binding,basic helix-loop-helix protein,0,0,1,4040,2703
41,73,42,ATG_E2F_CIS,1,1,"Data from the assay component ATG_E2F_CIS was analyzed into 1 assay endpoint. 

This assay endpoint, ATG_E2F_CIS, was analyzed with bidirectional fitting relative to DMSO as the negative control and baseline of activity. 

Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene E2F1. 

Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a reporter gene function. 

To generalize the intended target to other relatable targets, this assay endpoint is annotated to the dna binding intended target family, where the subfamily is E2F transcription factor.",reporter gene,log2_fold_induction,0,NA,gain,protein,transcription factor,dna binding,E2F transcription factor,0,0,1,4040,2703
42,74,43,ATG_EGR_CIS,1,1,"Data from the assay component ATG_EGR_CIS was analyzed into 1 assay endpoint. 

This assay endpoint, ATG_EGR_CIS, was analyzed with bidirectional fitting relative to DMSO as the negative control and baseline of activity. 

Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene EGR1. 

Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a reporter gene function. 

To generalize the intended target to other relatable targets, this assay endpoint is annotated to the dna binding intended target family, where the subfamily is zinc finger.",reporter gene,log2_fold_induction,0,NA,gain,protein,transcription factor,dna binding,zinc finger,0,0,1,4040,2703
43,75,44,ATG_ERE_CIS,1,1,"Data from the assay component ATG_ERE_CIS was analyzed into 1 assay endpoint. 

This assay endpoint, ATG_ERE_CIS, was analyzed with bidirectional fitting relative to DMSO as the negative control and baseline of activity. 

Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene ESR1. 

Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a reporter gene function. 

To generalize the intended target to other relatable targets, this assay endpoint is annotated to the nuclear receptor intended target family, where the subfamily is steroidal.",reporter gene,log2_fold_induction,0,17b-Estradiol,gain,protein,transcription factor,nuclear receptor,steroidal,0,0,1,4040,2703
44,76,45,ATG_Ets_CIS,1,1,"Data from the assay component ATG_Ets_CIS was analyzed into 1 assay endpoint. 

This assay endpoint, ATG_Ets_CIS, was analyzed with bidirectional fitting relative to DMSO as the negative control and baseline of activity. 

Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene ETS1. 

Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a reporter gene function. 

To generalize the intended target to other relatable targets, this assay endpoint is annotated to the dna binding intended target family, where the subfamily is winged helix-turn-helix.",reporter gene,log2_fold_induction,0,NA,gain,protein,transcription factor,dna binding,winged helix-turn-helix,0,0,1,4040,2703
45,77,46,ATG_FoxA2_CIS,1,1,"Data from the assay component ATG_FoxA2_CIS was analyzed into 1 assay endpoint. 

This assay endpoint, ATG_FoxA2_CIS, was analyzed with bidirectional fitting relative to DMSO as the negative control and baseline of activity. 

Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene FOXA2. 

Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a reporter gene function. 

To generalize the intended target to other relatable targets, this assay endpoint is annotated to the dna binding intended target family, where the subfamily is forkhead box protein.",reporter gene,log2_fold_induction,0,NA,gain,protein,transcription factor,dna binding,forkhead box protein,0,0,1,4040,2703
46,78,47,ATG_FoxO_CIS,1,1,"Data from the assay component ATG_FoxO_CIS was analyzed into 1 assay endpoint. 

This assay endpoint, ATG_FoxO_CIS, was analyzed with bidirectional fitting relative to DMSO as the negative control and baseline of activity. 

Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene FOXO1 and FOXO3. 

Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a reporter gene function. 

To generalize the intended target to other relatable targets, this assay endpoint is annotated to the dna binding intended target family, where the subfamily is forkhead box protein.",reporter gene,log2_fold_induction,0,NA,gain,protein,transcription factor,dna binding,forkhead box protein,0,0,1,4040,2702
